CodeSQ;Nom;CodeQ
3400011;Ecole d'Architecture;340002
3400012;Vert Bois;340002
3400013;Saint Eloi;340002
3400014;Lapeyronnie;340002
3400015;Occitanie;340002
3400016;Malbosc;340002
3400017;Euromedecine;340002
3400018;Lunaret;340002
3400019;Aiguelongue;340002
3400020;Meric;340002
3400021;Justice;340002
3400022;Agropolis;340002
3400023;Blayac;340006
3400024;Bologne;340006
3400025;Oxford;340006
3400026;Le Mail Sud;340006
3400027;Le Mail Nord;340006
3400028;Les Garrigues;340006
3400029;Les Gemeaux;340006
3400030;Les Tours;340006
3400031;Celleneuve;340006
3400032;La Fontaine;340007
3400033;Les Tonnelles;340007
3400034;Pilory;340007
3400035;Alco;340007
3400036;Soulas;340007
3400037;Casseyrols;340007
3400038;Bel Air;340007
3400039;Le Petit Bard;340007
3400040;La Piscine;340007
3400041;Agriculture;340007
3400042;Astruc;340007
3400043;Les Grezes;340007
3400044;Bouisses;340007
3400045;La Colline;340005
3400046;Notre Dame de la Paix;340005
3400047;Estanove;340005
3400048;Lepic;340005
3400049;Parc Montcalm;340005
3400050;Sabathe;340005
3400051;Tastavin;340005
3400052;Mas Drevon Maurin;340005
3400053;Croix d'Argent;340005
3400054;Marquerose;340005
3400055;Garosud;340005
3400056;Bagatelle;340005
3400057;Pas du Loup;340005
3400058;Mion;340004
3400059;Saint Martin;340004
3400060;Pont Trinquat;340004
3400061;Aiguerelles;340004
3400062;La Rauze;340004
3400063;Tournezy;340004
3400064;Port Marianne;340003
3400065;La Lironde;340003
3400066;Rive du Lez;340003
3400067;Eureka;340003
3400068;Millenaire;340003
3400069;Grammont;340003
3400070;Pont de Sete;340001
3400071;Soulas;340001
3400072;Saint Francois;340001
3400073;Salaison;340003
3400074;Pompignane;340003
3400075;Les Aubes;340001
3400076;Rimbaud;340001
3400077;Fac de Pharmacie;340001
3400078;Ecole Normale;340001
3400079;Boutonnet;340001
3400080;Sainte Odile;340001
3400081;Archives Departementales;340001
3400082;Nazareth;340001
3400083;Beaux Arts;340001
3400084;Verdanson;340001
3400085;Peyrou;340001
3400086;Ursulines;340001
3400087;Prefecture;340001
3400088;Saint Roch;340001
3400089;Gambetta;340001
3400090;Saint Denis;340001
3400091;Nombre d'Or;340001
3400092;Moulin de l'Eveque;340001
3400093;Place de l'Europe;340003
3400094;La Guirlande;340001
3400095;Chaptal;340001
3400096;Assas;340001
3400097;Avenue de Lodeve;340007
3400098;Comedie;340001
